Units: ENERGY (Kilo), interval
"Meter ID:" "Date" "Time" "Int.Len" "kWh-Del" "kVARh-Del" "kWh-Rec" "kVARh-Rec"
"            02811825" "01/05/19" "00:15" 15 0,752350000000000 0,302800000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "00:30" 15 0,755650000000000 0,304250000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "00:45" 15 0,759150000000000 0,306100000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "01:00" 15 0,762000000000000 0,307625000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "01:15" 15 0,762825000000000 0,308000000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "01:30" 15 0,765200000000000 0,309025000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "01:45" 15 0,765875000000000 0,309275000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "02:00" 15 0,766275000000000 0,309400000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "02:15" 15 0,765875000000000 0,308900000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "02:30" 15 0,765925000000000 0,308975000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "02:45" 15 0,766275000000000 0,309075000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "03:00" 15 0,767075000000000 0,309425000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "03:15" 15 0,767325000000000 0,309500000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "03:30" 15 0,767400000000000 0,309500000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "03:45" 15 0,473775000000000 0,191125000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "04:00" 15 0,000000000000000 0,000000000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "04:15" 15 0,000000000000000 0,000000000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "04:30" 15 0,000000000000000 0,000000000000000 0,000000000000000 0,000000000000000
"            02811825" "01/05/19" "04:45" 15 0,000000000000000 0,000000000000000 0,000000000000000 0,000000000000000
