Fecha	Inicio	Fin	1-1:1.5 kW	1-1:2.5 kW	1-1:3.5 kvar	1-1:4.5 kvar	1-1:5.5 kvar	1-1:6.5 kvar	1-1:7.5 kvar	1-1:8.5 kvar	Estado	
01/05/2019	12:00 a.m.	12:15 a.m.	0,4265	0,0	0,0651	0,0	0,0651	0,0	0,0	0,0	0000 0000	
01/05/2019	12:15 a.m.	12:30 a.m.	0,42	0,0	0,0612	0,0	0,0612	0,0	0,0	0,0	0000 0000	
01/05/2019	12:30 a.m.	12:45 a.m.	0,4244	0,0	0,0606	0,0	0,0606	0,0	0,0	0,0	0000 0000	
01/05/2019	12:45 a.m.	01:00 a.m.	0,4386	0,0	0,0796	0,0	0,0796	0,0	0,0	0,0	0000 0000	
01/05/2019	01:00 a.m.	01:15 a.m.	0,4259	0,0	0,0704	0,0	0,0704	0,0	0,0	0,0	0000 0000	
01/05/2019	01:15 a.m.	01:30 a.m.	0,4318	0,0	0,0733	0,0	0,0733	0,0	0,0	0,0	0000 0000	
01/05/2019	01:30 a.m.	01:45 a.m.	0,4285	0,0	0,0652	0,0	0,0652	0,0	0,0	0,0	0000 0000	
01/05/2019	01:45 a.m.	02:00 a.m.	0,4189	0,0	0,0574	0,0	0,0574	0,0	0,0	0,0	0000 0000	
01/05/2019	02:00 a.m.	02:15 a.m.	0,4117	0,0	0,0545	0,0	0,0545	0,0	0,0	0,0	0000 0000	
01/05/2019	02:15 a.m.	02:30 a.m.	0,418	0,0	0,0635	0,0	0,0635	0,0	0,0	0,0	0000 0000	
01/05/2019	02:30 a.m.	02:45 a.m.	0,4034	0,0	0,0414	0,0	0,0414	0,0	0,0	0,0	0000 0000	
01/05/2019	02:45 a.m.	03:00 a.m.	0,4211	0,0	0,0594	0,0	0,0594	0,0	0,0	0,0	0000 0000	
01/05/2019	03:00 a.m.	03:15 a.m.	0,4003	0,0	0,0398	0,0	0,0398	0,0	0,0	0,0	0000 0000	
01/05/2019	03:15 a.m.	03:30 a.m.	0,3981	0,0	0,0387	0,0	0,0387	0,0	0,0	0,0	0000 0000	
01/05/2019	03:30 a.m.	03:45 a.m.	0,3954	0,0	0,042	0,0	0,042	0,0	0,0	0,0	0000 0000	
01/05/2019	03:45 a.m.	04:00 a.m.	0,3903	0,0	0,0388	0,0	0,0388	0,0	0,0	0,0	0000 0000	
01/05/2019	04:00 a.m.	04:15 a.m.	0,3923	0,0	0,0392	0,0	0,0392	0,0	0,0	0,0	0000 0000	
01/05/2019	04:15 a.m.	04:30 a.m.	0,3989	0,0	0,0433	0,0	0,0433	0,0	0,0	0,0	0000 0000	
01/05/2019	04:30 a.m.	04:45 a.m.	0,4013	0,0	0,044	0,0	0,044	0,0	0,0	0,0	0000 0000	
01/05/2019	04:45 a.m.	05:00 a.m.	0,4075	0,0	0,0534	0,0	0,0534	0,0	0,0	0,0	0000 0000	
01/05/2019	05:00 a.m.	05:15 a.m.	0,3511	0,0	0,0228	0,0193	0,0228	0,0	0,0	0,0193	0000 0000	
01/05/2019	05:15 a.m.	05:30 a.m.	0,2931	0,0	0,0	0,0462	0,0	0,0	0,0	0,0462	0000 0000	
01/05/2019	05:30 a.m.	05:45 a.m.	0,2936	0,0	0,0	0,0452	0,0	0,0	0,0	0,0451	0000 0000	
01/05/2019	05:45 a.m.	06:00 a.m.	0,2944	0,0	0,0	0,0454	0,0	0,0	0,0	0,0454	0000 0000	
01/05/2019	06:00 a.m.	06:15 a.m.	0,3031	0,0	0,0	0,0385	0,0	0,0	0,0	0,0385	0000 0000	
01/05/2019	06:15 a.m.	06:30 a.m.	0,3141	0,0	0,0	0,0299	0,0	0,0	0,0	0,0299	0000 0000	
01/05/2019	06:30 a.m.	06:45 a.m.	0,3106	0,0	0,0	0,0291	0,0	0,0	0,0	0,0291	0000 0000	
01/05/2019	06:45 a.m.	07:00 a.m.	0,307	0,0	0,0	0,0269	0,0	0,0	0,0	0,027	0000 0000	
01/05/2019	07:00 a.m.	07:15 a.m.	0,3102	0,0	0,0	0,0197	0,0	0,0	0,0	0,0197	0000 0000	
01/05/2019	07:15 a.m.	07:30 a.m.	0,3109	0,0	0,0	0,0142	0,0	0,0	0,0	0,0141	0000 0000	
01/05/2019	07:30 a.m.	07:45 a.m.	0,3132	0,0	0,0	0,0126	0,0	0,0	0,0	0,0126	0000 0000	
01/05/2019	07:45 a.m.	08:00 a.m.	0,326	0,0	0,0068	0,0125	0,0068	0,0	0,0	0,0125	0000 0000	
01/05/2019	08:00 a.m.	08:15 a.m.	0,4764	0,0	0,1223	0,0	0,1223	0,0	0,0	0,0	0000 0000	
01/05/2019	08:15 a.m.	08:30 a.m.	0,464	0,0	0,0984	0,0	0,0984	0,0	0,0	0,0	0000 0000	
01/05/2019	08:30 a.m.	08:45 a.m.	0,4538	0,0	0,0894	0,0	0,0894	0,0	0,0	0,0	0000 0000	
01/05/2019	08:45 a.m.	09:00 a.m.	0,4704	0,0	0,1074	0,0	0,1074	0,0	0,0	0,0	0000 0000	
01/05/2019	09:00 a.m.	09:15 a.m.	0,4645	0,0	0,1002	0,0	0,1002	0,0	0,0	0,0	0000 0000	
01/05/2019	09:15 a.m.	09:30 a.m.	0,4777	0,0	0,1122	0,0	0,1122	0,0	0,0	0,0	0000 0000	
01/05/2019	09:30 a.m.	09:45 a.m.	0,4724	0,0	0,105	0,0	0,105	0,0	0,0	0,0	0000 0000	
01/05/2019	09:45 a.m.	10:00 a.m.	0,4885	0,0	0,1162	0,0	0,1162	0,0	0,0	0,0	0000 0000	
01/05/2019	10:00 a.m.	10:15 a.m.	0,4966	0,0	0,126	0,0	0,126	0,0	0,0	0,0	0000 0000	
01/05/2019	10:15 a.m.	10:30 a.m.	0,5113	0,0	0,142	0,0	0,142	0,0	0,0	0,0	0000 0000	
01/05/2019	10:30 a.m.	10:45 a.m.	0,4979	0,0	0,1279	0,0	0,1279	0,0	0,0	0,0	0000 0000	
