Fecha	Inicio	Fin	1-1:1.5 kW	1-1:2.5 kW	1-1:3.5 kvar	1-1:4.5 kvar	1-1:5.5 kvar	1-1:6.5 kvar	1-1:7.5 kvar	1-1:8.5 kvar	Estado	
01/05/2019	12:00 a.m.	12:15 a.m.	0,008	0,0	0,0462	0,0	0,0462	0,0	0,0	0,0	0000 0000	
01/05/2019	12:15 a.m.	12:30 a.m.	0,008	0,0	0,046	0,0	0,046	0,0	0,0	0,0	0000 0000	
01/05/2019	12:30 a.m.	12:45 a.m.	0,0083	0,0	0,0506	0,0	0,0506	0,0	0,0	0,0	0000 0000	
01/05/2019	12:45 a.m.	01:00 a.m.	0,0085	0,0	0,0521	0,0	0,0521	0,0	0,0	0,0	0000 0000	
01/05/2019	01:00 a.m.	01:15 a.m.	0,0086	0,0	0,0526	0,0	0,0526	0,0	0,0	0,0	0000 0000	
01/05/2019	01:15 a.m.	01:30 a.m.	0,0085	0,0	0,0523	0,0	0,0523	0,0	0,0	0,0	0000 0000	
01/05/2019	01:30 a.m.	01:45 a.m.	0,0086	0,0	0,0524	0,0	0,0524	0,0	0,0	0,0	0000 0000	
01/05/2019	01:45 a.m.	02:00 a.m.	0,0085	0,0	0,052	0,0	0,052	0,0	0,0	0,0	0000 0000	
01/05/2019	02:00 a.m.	02:15 a.m.	0,0084	0,0	0,0499	0,0	0,0499	0,0	0,0	0,0	0000 0000	
01/05/2019	02:15 a.m.	02:30 a.m.	0,0084	0,0	0,0505	0,0	0,0505	0,0	0,0	0,0	0000 0000	
01/05/2019	02:30 a.m.	02:45 a.m.	0,0085	0,0	0,0497	0,0	0,0497	0,0	0,0	0,0	0000 0000	
01/05/2019	02:45 a.m.	03:00 a.m.	0,0083	0,0	0,0491	0,0	0,0491	0,0	0,0	0,0	0000 0000	
01/05/2019	03:00 a.m.	03:15 a.m.	0,0084	0,0	0,0491	0,0	0,0491	0,0	0,0	0,0	0000 0000	
01/05/2019	03:15 a.m.	03:30 a.m.	0,0083	0,0	0,0488	0,0	0,0488	0,0	0,0	0,0	0000 0000	
01/05/2019	03:30 a.m.	03:45 a.m.	0,005	0,0	0,0295	0,0	0,0295	0,0	0,0	0,0	0000 0080	
01/05/2019	03:45 a.m.	04:00 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	04:00 a.m.	04:15 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	04:15 a.m.	04:30 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	04:30 a.m.	04:45 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	04:45 a.m.	05:00 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	05:00 a.m.	05:15 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	05:15 a.m.	05:30 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	05:30 a.m.	05:45 a.m.	0,7279	0,0	0,2788	0,0	0,2788	0,0	0,0	0,0	0000 0040	
01/05/2019	05:45 a.m.	06:00 a.m.	0,9065	0,0	0,3178	0,0	0,3178	0,0	0,0	0,0	0000 0000	
01/05/2019	06:00 a.m.	06:15 a.m.	0,8838	0,0	0,3134	0,0	0,3134	0,0	0,0	0,0	0000 0000	
01/05/2019	06:15 a.m.	06:30 a.m.	0,8855	0,0	0,3139	0,0	0,3139	0,0	0,0	0,0	0000 0000	
01/05/2019	06:30 a.m.	06:45 a.m.	0,8928	0,0	0,3155	0,0	0,3155	0,0	0,0	0,0	0000 0000	
01/05/2019	06:45 a.m.	07:00 a.m.	0,8965	0,0	0,3178	0,0	0,3178	0,0	0,0	0,0	0000 0000	
01/05/2019	07:00 a.m.	07:15 a.m.	0,9016	0,0	0,3162	0,0	0,3162	0,0	0,0	0,0	0000 0000	
01/05/2019	07:15 a.m.	07:30 a.m.	0,9095	0,0	0,3166	0,0	0,3166	0,0	0,0	0,0	0000 0000	
01/05/2019	07:30 a.m.	07:45 a.m.	0,9665	0,0	0,333	0,0	0,333	0,0	0,0	0,0	0000 0000	
01/05/2019	07:45 a.m.	08:00 a.m.	0,9785	0,0	0,3351	0,0	0,3351	0,0	0,0	0,0	0000 0000	
01/05/2019	08:00 a.m.	08:15 a.m.	0,9877	0,0	0,3359	0,0	0,3359	0,0	0,0	0,0	0000 0000	
01/05/2019	08:15 a.m.	08:30 a.m.	0,9917	0,0	0,3367	0,0	0,3367	0,0	0,0	0,0	0000 0000	
01/05/2019	08:30 a.m.	08:45 a.m.	0,998	0,0	0,3387	0,0	0,3387	0,0	0,0	0,0	0000 0000	
01/05/2019	08:45 a.m.	09:00 a.m.	1,0007	0,0	0,3401	0,0	0,3401	0,0	0,0	0,0	0000 0000	
01/05/2019	09:00 a.m.	09:15 a.m.	1,0002	0,0	0,3403	0,0	0,3403	0,0	0,0	0,0	0000 0000	
01/05/2019	09:15 a.m.	09:30 a.m.	0,9998	0,0	0,3394	0,0	0,3394	0,0	0,0	0,0	0000 0000	
01/05/2019	09:30 a.m.	09:45 a.m.	1,0038	0,0	0,3404	0,0	0,3404	0,0	0,0	0,0	0000 0000	
01/05/2019	09:45 a.m.	10:00 a.m.	1,0088	0,0	0,3413	0,0	0,3413	0,0	0,0	0,0	0000 0000	
01/05/2019	10:00 a.m.	10:15 a.m.	1,0149	0,0	0,344	0,0	0,344	0,0	0,0	0,0	0000 0000	
01/05/2019	10:15 a.m.	10:30 a.m.	1,0167	0,0	0,3457	0,0	0,3457	0,0	0,0	0,0	0000 0000	
01/05/2019	10:30 a.m.	10:45 a.m.	1,0205	0,0	0,3484	0,0	0,3484	0,0	0,0	0,0	0000 0000	
01/05/2019	10:45 a.m.	11:00 a.m.	0,0029	0,0	0,001	0,0	0,001	0,0	0,0	0,0	0000 0080	
01/05/2019	11:00 a.m.	11:15 a.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	11:15 a.m.	11:30 a.m.	0,0	0,0	0,0003	0,0	0,0003	0,0	0,0	0,0	0000 0040	
01/05/2019	11:30 a.m.	11:45 a.m.	0,0082	0,0	0,0553	0,0	0,0553	0,0	0,0	0,0	0000 0000	
01/05/2019	11:45 a.m.	12:00 p.m.	0,0079	0,0	0,0518	0,0	0,0518	0,0	0,0	0,0	0000 0000	
01/05/2019	12:00 p.m.	12:15 p.m.	0,0078	0,0	0,0499	0,0	0,0499	0,0	0,0	0,0	0000 0000	
01/05/2019	12:15 p.m.	12:30 p.m.	0,0078	0,0	0,0505	0,0	0,0505	0,0	0,0	0,0	0000 0000	
01/05/2019	12:30 p.m.	12:45 p.m.	0,0079	0,0	0,0506	0,0	0,0506	0,0	0,0	0,0	0000 0000	
01/05/2019	12:45 p.m.	01:00 p.m.	0,0168	0,0	0,0703	0,0	0,0703	0,0	0,0	0,0	0000 0000	
01/05/2019	01:00 p.m.	01:15 p.m.	0,9459	0,0	0,3214	0,0	0,3214	0,0	0,0	0,0	0000 0000	
01/05/2019	01:15 p.m.	01:30 p.m.	0,9576	0,0	0,3276	0,0	0,3276	0,0	0,0	0,0	0000 0000	
01/05/2019	01:30 p.m.	01:45 p.m.	0,97	0,0	0,3332	0,0	0,3332	0,0	0,0	0,0	0000 0000	
01/05/2019	01:45 p.m.	02:00 p.m.	0,9808	0,0	0,3357	0,0	0,3357	0,0	0,0	0,0	0000 0000	
01/05/2019	02:00 p.m.	02:15 p.m.	0,993	0,0	0,3385	0,0	0,3385	0,0	0,0	0,0	0000 0000	
01/05/2019	02:15 p.m.	02:30 p.m.	1,0014	0,0	0,3409	0,0	0,3409	0,0	0,0	0,0	0000 0000	
01/05/2019	02:30 p.m.	02:45 p.m.	1,0071	0,0	0,3428	0,0	0,3428	0,0	0,0	0,0	0000 0000	
01/05/2019	02:45 p.m.	03:00 p.m.	1,0119	0,0	0,3446	0,0	0,3446	0,0	0,0	0,0	0000 0000	
01/05/2019	03:00 p.m.	03:15 p.m.	1,0061	0,0	0,3431	0,0	0,3431	0,0	0,0	0,0	0000 0000	
01/05/2019	03:15 p.m.	03:30 p.m.	1,0033	0,0	0,341	0,0	0,341	0,0	0,0	0,0	0000 0000	
01/05/2019	03:30 p.m.	03:45 p.m.	1,0067	0,0	0,3432	0,0	0,3432	0,0	0,0	0,0	0000 0000	
01/05/2019	03:45 p.m.	04:00 p.m.	1,0144	0,0	0,3465	0,0	0,3465	0,0	0,0	0,0	0000 0000	
01/05/2019	04:00 p.m.	04:15 p.m.	1,0174	0,0	0,3483	0,0	0,3483	0,0	0,0	0,0	0000 0000	
01/05/2019	04:15 p.m.	04:30 p.m.	1,0237	0,0	0,3511	0,0	0,3511	0,0	0,0	0,0	0000 0000	
01/05/2019	04:30 p.m.	04:45 p.m.	1,026	0,0	0,353	0,0	0,353	0,0	0,0	0,0	0000 0000	
01/05/2019	04:45 p.m.	05:00 p.m.	1,0307	0,0	0,3526	0,0	0,3526	0,0	0,0	0,0	0000 0000	
01/05/2019	05:00 p.m.	05:15 p.m.	1,0326	0,0	0,3518	0,0	0,3518	0,0	0,0	0,0	0000 0000	
01/05/2019	05:15 p.m.	05:30 p.m.	0,9264	0,0	0,3211	0,0	0,3211	0,0	0,0	0,0	0000 0000	
01/05/2019	05:30 p.m.	05:45 p.m.	0,0086	0,0	0,0554	0,0	0,0554	0,0	0,0	0,0	0000 0000	
01/05/2019	05:45 p.m.	06:00 p.m.	0,0086	0,0	0,0561	0,0	0,0561	0,0	0,0	0,0	0000 0000	
01/05/2019	06:00 p.m.	06:15 p.m.	0,0088	0,0	0,0583	0,0	0,0583	0,0	0,0	0,0	0000 0000	
01/05/2019	06:15 p.m.	06:30 p.m.	0,0089	0,0	0,0587	0,0	0,0587	0,0	0,0	0,0	0000 0000	
01/05/2019	06:30 p.m.	06:45 p.m.	0,0086	0,0	0,0555	0,0	0,0555	0,0	0,0	0,0	0000 0000	
01/05/2019	06:45 p.m.	07:00 p.m.	0,0087	0,0	0,0554	0,0	0,0554	0,0	0,0	0,0	0000 0000	
01/05/2019	07:00 p.m.	07:15 p.m.	0,0086	0,0	0,056	0,0	0,056	0,0	0,0	0,0	0000 0000	
01/05/2019	07:15 p.m.	07:30 p.m.	0,0087	0,0	0,0562	0,0	0,0562	0,0	0,0	0,0	0000 0000	
01/05/2019	07:30 p.m.	07:45 p.m.	0,0087	0,0	0,0556	0,0	0,0556	0,0	0,0	0,0	0000 0000	
01/05/2019	07:45 p.m.	08:00 p.m.	0,0087	0,0	0,0563	0,0	0,0563	0,0	0,0	0,0	0000 0000	
01/05/2019	08:00 p.m.	08:15 p.m.	0,0088	0,0	0,0579	0,0	0,0579	0,0	0,0	0,0	0000 0000	
01/05/2019	08:15 p.m.	08:30 p.m.	0,0087	0,0	0,0557	0,0	0,0557	0,0	0,0	0,0	0000 0000	
01/05/2019	08:30 p.m.	08:45 p.m.	0,0088	0,0	0,0568	0,0	0,0568	0,0	0,0	0,0	0000 0000	
01/05/2019	08:45 p.m.	09:00 p.m.	0,0088	0,0	0,0576	0,0	0,0576	0,0	0,0	0,0	0000 0000	
01/05/2019	09:00 p.m.	09:15 p.m.	0,0088	0,0	0,0575	0,0	0,0575	0,0	0,0	0,0	0000 0000	
01/05/2019	09:15 p.m.	09:30 p.m.	0,009	0,0	0,0588	0,0	0,0588	0,0	0,0	0,0	0000 0000	
01/05/2019	09:30 p.m.	09:45 p.m.	0,0048	0,0	0,0315	0,0	0,0315	0,0	0,0	0,0	0000 0080	
01/05/2019	09:45 p.m.	10:00 p.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	10:00 p.m.	10:15 p.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	10:15 p.m.	10:30 p.m.	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	---- ----	
01/05/2019	10:30 p.m.	10:45 p.m.	0,0081	0,0	0,0526	0,0	0,0526	0,0	0,0	0,0	0000 0040	
01/05/2019	10:45 p.m.	11:00 p.m.	0,0091	0,0	0,0603	0,0	0,0603	0,0	0,0	0,0	0000 0000	
01/05/2019	11:00 p.m.	11:15 p.m.	0,009	0,0	0,059	0,0	0,059	0,0	0,0	0,0	0000 0000	
01/05/2019	11:15 p.m.	11:30 p.m.	0,0087	0,0	0,0555	0,0	0,0555	0,0	0,0	0,0	0000 0000	
01/05/2019	11:30 p.m.	11:45 p.m.	0,0084	0,0	0,0516	0,0	0,0516	0,0	0,0	0,0	0000 0000	
01/05/2019	11:45 p.m.	12:00 a.m.	0,0084	0,0	0,0503	0,0	0,0503	0,0	0,0	0,0	0000 0000	
02/05/2019	12:00 a.m.	12:15 a.m.	0,0083	0,0	0,0501	0,0	0,0501	0,0	0,0	0,0	0000 0000	
02/05/2019	12:15 a.m.	12:30 a.m.	0,0083	0,0	0,0504	0,0	0,0504	0,0	0,0	0,0	0000 0000	
02/05/2019	12:30 a.m.	12:45 a.m.	0,0085	0,0	0,0533	0,0	0,0533	0,0	0,0	0,0	0000 0000	
02/05/2019	12:45 a.m.	01:00 a.m.	0,0085	0,0	0,0533	0,0	0,0533	0,0	0,0	0,0	0000 0000	
02/05/2019	01:00 a.m.	01:15 a.m.	0,0085	0,0	0,0535	0,0	0,0535	0,0	0,0	0,0	0000 0000	
02/05/2019	01:15 a.m.	01:30 a.m.	0,0084	0,0	0,053	0,0	0,053	0,0	0,0	0,0	0000 0000	
02/05/2019	01:30 a.m.	01:45 a.m.	0,0084	0,0	0,0517	0,0	0,0517	0,0	0,0	0,0	0000 0000	
